"","Season","TeamName","Tempo","RankTempoSeason","AdjTempo","RankAdjTempoSeason","OE","RankOESeason","AdjOE","RankAdjOESeason","DE","RankDESeason","AdjDE","RankAdjDESeason","AdjSOS","RankAdjSOS_Season","seed_season"
"109",2022,"Notre Dame",65.9041,288,65.7294,250,108.378,46,111.997,29,100.674,147,98.3632,84,13.6336,52,"11"
"110",2022,"Ohio St.",65.3779,314,64.9727,287,112.068,18,116.627,13,103.964,235,100.804,131,15.8224,32,"7"
"111",2022,"Providence",66.0606,280,65.193,273,106.471,74,111.929,31,99.604,122,98.0491,79,13.8797,49,"4"
"112",2022,"Purdue",66.6017,263,65.764,248,118.576,3,121.268,3,102.357,196,98.9804,100,22.2872,14,"3"
"113",2022,"Richmond",67.501,207,66.8627,191,105.575,100,109.146,69,100.278,141,99.3205,104,9.82501,83,"12"
"114",2022,"Rutgers",65.7294,298,64.9317,289,102.697,161,106.375,107,99.4951,118,95.5107,43,10.8648,74,"11"
"115",2022,"Saint Mary's",65.5835,304,63.493,338,106.095,82,109.764,64,93.3164,22,89.9554,9,19.8082,16,"5"
"116",2022,"Saint Peter's",67.0262,241,65.9614,242,98.7557,249,98.7512,259,92.3289,12,94.4758,34,4.27548,118,"15"
"117",2022,"San Diego St.",65.2321,319,65.2809,268,99.3087,235,104.106,157,87.9036,1,85.9549,2,18.151,22,"8"
"118",2022,"San Francisco",70.641,59,68.6767,89,107.272,61,110.756,45,94.4226,29,92.3886,19,18.3679,21,"10"
"119",2022,"Seton Hall",68.6462,141,67.2574,162,103.686,140,108.487,75,96.4278,51,93.5199,26,14.967,35,"8"
"120",2022,"South Dakota St.",71.5227,37,69.4008,59,119.382,1,116.763,12,103.747,228,105.32,220,11.4429,71,"13"
"121",2022,"TCU",67.1122,237,65.834,244,101.094,199,108.261,80,96.6485,54,93.3525,24,14.909,38,"9"
"122",2022,"Tennessee",68.6808,138,67.1668,172,105.997,87,111.439,36,90.464,7,86.1987,3,25.2399,7,"3"
"123",2022,"Texas",64.188,343,63.0969,341,105.723,94,111.812,32,91.9048,8,91.4059,13,20.4063,15,"6"
"124",2022,"Texas A&M Corpus Chris",71.7318,32,68.9287,73,102.501,166,96.9771,287,98.6743,99,103.288,181,-6.3107,243,"16"
"125",2022,"Texas Southern",69.2557,104,67.6207,130,99.3772,233,98.1424,270,94.3754,27,99.4749,108,-1.33245,188,"16"
"126",2022,"Texas Tech",67.472,209,66.455,211,104.973,114,109.701,65,88.3557,2,85.0595,1,24.641,9,"3"
"127",2022,"UAB",70.1548,78,68.7871,81,111.84,19,112.489,28,95.4026,35,98.456,89,14.0333,46,"12"
"128",2022,"UCLA",67.1833,230,65.5444,258,111.821,20,116.076,15,94.6157,31,91.2287,12,24.8472,8,"4"
"129",2022,"USC",67.4471,214,66.022,237,106.564,73,110.473,47,96.9625,63,96.0232,49,14.4494,42,"7"
"130",2022,"Vermont",65.1612,322,64.9527,288,114.506,8,110.775,44,92.9081,19,97.7084,74,13.0669,59,"13"
"131",2022,"Villanova",64.1915,342,62.55,345,112.845,15,117.95,8,97.6798,75,93.8397,28,24.1107,11,"2"
"132",2022,"Virginia Tech",63.4606,346,62.9067,344,111.1,23,114.268,18,98.0541,82,96.4045,54,17.8634,23,"11"
"133",2022,"Wisconsin",67.1476,232,66.466,208,105.178,108,110.398,49,98.919,103,94.8142,38,15.5839,34,"3"
"134",2022,"Wright St.",69.1928,109,68.4334,97,108.996,39,106.365,108,103.348,218,107.231,262,-0.866069,182,"16"
"135",2022,"Wyoming",66.1084,279,66.0062,238,107.367,58,110.173,54,97.9249,80,97.0777,66,13.0956,58,"12"
"136",2022,"Yale",70.2695,73,68.6807,86,101.727,182,101.474,203,98.5686,96,99.2392,103,2.23432,147,"14"
"137",2021,"Abilene Christian",71.6065,74,69.9524,102,106.373,73,103.047,157,86.3925,1,92.9196,30,10.1273,86,"14"
"138",2021,"Alabama",75.1471,10,73.9267,9,105.998,83,111.722,34,92.8416,18,86.734,2,24.9876,8,"2"
"139",2021,"Appalachian St.",66.0679,308,65.6825,310,100.327,189,99.3998,227,101.33,165,103.738,205,-4.33805,209,"16"
"140",2021,"Arkansas",75.3323,7,73.1045,17,108.753,39,111.502,35,93.4594,22,89.9724,14,21.5292,18,"3"
"141",2021,"Baylor",70.2185,123,68.3891,179,119.43,2,123.265,3,94.472,35,93.7679,44,29.4969,4,"1"
"142",2021,"BYU",70.3849,115,67.9796,200,108.904,38,113.107,28,96.3259,57,92.1612,26,20.9462,24,"6"
"143",2021,"Clemson",64.8682,333,64.2422,338,100.131,192,106.87,99,95.3828,44,90.7046,20,16.1652,42,"7"
"144",2021,"Cleveland St.",67.664,244,66.3028,282,103.581,124,100.852,199,101.464,171,99.4794,121,1.37289,151,"15"
"145",2021,"Colgate",72.1928,53,72.4472,25,118.814,3,110.89,43,94.0365,27,100.668,140,10.2223,84,"14"
"146",2021,"Colorado",66.2458,299,66.3585,280,110.094,27,114.417,17,95.8568,51,92.7358,29,21.6816,17,"5"
"147",2021,"Connecticut",66.4535,293,66.0354,301,108.197,50,113.581,24,96.6577,63,91.6796,25,21.9011,16,"7"
"148",2021,"Creighton",69.5619,159,69.0627,144,109.643,32,114.87,14,97.5105,73,93.5652,40,21.3051,19,"5"
"149",2021,"Drake",66.2207,301,66.7599,265,114.165,7,113.949,19,97.8564,77,99.3062,120,14.6425,53,"11"
"150",2021,"Drexel",65.9441,313,64.2271,340,108.611,41,107.143,95,101.644,179,105.525,247,1.6183,146,"16"
"151",2021,"Eastern Washington",71.2932,87,72.3499,28,109.304,35,107.67,86,98.1596,83,101.018,152,6.65145,110,"14"
"152",2021,"Florida",70.6908,103,68.6479,165,104.562,100,110.975,40,98.8706,105,93.4227,37,17.5522,37,"7"
"153",2021,"Florida St.",70.3595,117,70.5582,84,111.363,20,116.442,10,98.9496,107,94.3726,48,22.0698,15,"4"
"154",2021,"Georgetown",70.1451,128,69.6374,113,101.239,173,107.693,85,100.383,141,93.636,41,14.0569,55,"12"
"155",2021,"Georgia Tech",68.0089,226,67.7637,215,108.198,49,113.332,27,100.068,133,94.783,52,18.5494,32,"9"
"156",2021,"Gonzaga",75.2784,8,74.7701,4,122.395,1,126.111,1,91.6576,12,89.4872,10,36.6241,1,"1"
"157",2021,"Grand Canyon",66.7431,286,65.4771,314,106.694,66,103.554,142,92.4329,16,96.5771,74,6.97644,108,"15"
"158",2021,"Hartford",66.4658,292,66.7023,269,99.1816,210,97.4886,254,95.4155,46,100.22,127,-2.73095,192,"16"
